iter	Passed	Remaining
0	18	24781
1	35	24398
2	59	27027
3	76	26074
4	109	29759
5	137	31009
6	166	32247
7	175	29701
8	196	29580
9	220	29793
10	257	31694
11	278	31402
12	288	30027
13	310	29914
14	334	30112
15	351	29591
16	373	29570
17	394	29469
18	416	29499
19	454	30555
20	460	29455
21	481	29345
22	501	29235
23	511	28550
24	522	27975
25	532	27412
26	553	27406
27	558	26671
28	576	26523
29	587	26109
30	608	26174
31	629	26204
32	652	26325
33	664	26000
34	687	26101
35	708	26144
36	731	26246
37	754	26335
38	775	26333
39	794	26296
40	812	26227
41	822	25890
42	843	25910
43	874	26241
44	909	26645
45	930	26663
46	951	26673
47	968	26560
48	988	26521
49	1003	26364
50	1018	26218
51	1038	26205
52	1044	25826
53	1065	25855
54	1071	25502
55	1092	25513
56	1113	25529
57	1118	25188
58	1123	24855
59	1144	24875
60	1155	24683
61	1176	24701
62	1197	24732
63	1218	24745
64	1243	24846
65	1266	24902
66	1288	24945
67	1311	24999
68	1333	25031
69	1354	25042
70	1375	25051
71	1395	25039
72	1415	25027
73	1435	25031
74	1445	24843
75	1460	24747
76	1479	24725
