iter	RMSE
0	15.96773429
1	15.74126786
2	15.60226532
3	15.43478539
4	15.2953534
5	15.18465958
6	15.06491662
7	15.00946642
8	14.93686076
9	14.87142154
10	14.80111946
11	14.73014044
12	14.6709864
13	14.64678052
14	14.59315171
15	14.5331796
16	14.50328126
17	14.45917846
18	14.41332376
19	14.37791994
20	14.34392279
21	14.30629016
22	14.2841793
23	14.245645
24	14.22714824
25	14.19575727
26	14.17026203
27	14.12217233
28	14.08738806
29	14.0440523
30	14.01376311
31	13.98475334
32	13.96284112
33	13.93969461
34	13.93277882
35	13.93127805
36	13.91883401
37	13.89092084
38	13.86857025
39	13.86067188
40	13.82683724
41	13.82074722
42	13.8063089
43	13.79439166
44	13.76582657
45	13.73309753
46	13.71877809
47	13.69984834
48	13.69514693
49	13.68101026
50	13.65476006
51	13.6248247
52	13.60267906
53	13.59660843
54	13.5961643
55	13.57314947
56	13.56369438
57	13.55917739
58	13.53618153
59	13.51929626
60	13.49443215
61	13.47532678
62	13.44711582
63	13.42586068
64	13.38568707
65	13.36484004
66	13.33848114
67	13.31436571
68	13.30857992
69	13.29212974
70	13.27297785
71	13.26816881
72	13.24062361
73	13.22437473
74	13.21706207
75	13.18647381
76	13.14978607
77	13.12914913
78	13.11525587
79	13.10713129
80	13.08649946
81	13.07006551
82	13.06081579
83	13.04309276
84	13.00389553
85	12.96864058
86	12.93825051
87	12.9251703
88	12.87555129
89	12.82784123
90	12.77268406
91	12.7651603
92	12.74362396
93	12.73171209
94	12.71846302
95	12.71170697
96	12.70780864
97	12.7001694
98	12.6818218
99	12.63630349
