iter	Passed	Remaining
0	146	14540
1	159	7796
2	167	5403
3	182	4369
4	197	3749
5	212	3328
6	230	3063
7	240	2764
8	258	2608
9	279	2514
10	298	2418
11	320	2353
12	343	2296
13	362	2227
14	379	2148
15	396	2080
16	415	2027
17	433	1975
18	453	1932
19	475	1900
20	496	1867
21	514	1823
22	535	1791
23	555	1759
24	576	1729
25	600	1709
26	620	1678
27	638	1641
28	654	1602
29	670	1565
30	687	1530
31	704	1497
32	722	1467
33	740	1437
34	758	1409
35	776	1380
36	798	1358
37	815	1330
38	832	1302
39	850	1275
40	868	1250
41	887	1225
42	907	1203
43	927	1180
44	946	1156
45	966	1134
46	986	1112
47	1005	1089
48	1025	1067
49	1054	1054
50	1078	1036
51	1100	1015
52	1123	996
53	1145	976
54	1164	952
55	1186	931
56	1207	910
57	1229	890
58	1252	870
59	1270	847
60	1287	823
61	1309	802
62	1331	782
63	1353	761
64	1373	739
65	1394	718
66	1413	696
67	1432	674
68	1449	651
69	1484	636
70	1508	616
71	1554	604
72	1575	582
73	1596	560
74	1633	544
75	1667	526
76	1686	503
77	1704	480
78	1723	458
79	1740	435
80	1758	412
81	1776	390
82	1793	367
83	1810	344
84	1826	322
85	1845	300
86	1867	279
87	1886	257
88	1903	235
89	1923	213
90	1940	191
91	1967	171
92	1993	150
93	2014	128
94	2031	106
95	2047	85
96	2062	63
97	2080	42
98	2099	21
99	2119	0
