City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita_kg,Landfill_Utilization_Ratio,Cost_Per_Campaign,Year_Sin,Year_Cos,Waste Generated (Tons/Day)_log,Cost of Waste Management (₹/Ton)_log,City_WasteType,Eff_Campaign_Interaction,City_WasteType_TE,Waste Generated (Tons/Day)_OutlierFlag,Cost of Waste Management (₹/Ton)_OutlierFlag,Population Density (People/km²)_OutlierFlag,Landfill_Region_Cluster_1.0,Landfill_Region_Cluster_2.0,Landfill_Region_Cluster_3.0
Mumbai,Plastic,6610.0,68.0,11191.0,9.0,Composting,3056.0,14.0,Mumbai Landfill,45575.0,2019,22.4265,77.4931,590.6532034670718,0.1450356555128908,218.28571428571428,-0.0124231807818823,0.9999228293119728,8.796490207333578,8.025189321890835,Mumbai_Plastic,126.0,58.78431372549019,0,0,0,0,0,0
Mumbai,Organic,1181.0,56.0,11191.0,5.0,Composting,2778.0,12.0,Mumbai Landfill,45575.0,2019,22.4265,77.4931,105.53123045304262,0.0259133296763576,231.5,-0.0124231807818823,0.9999228293119728,7.074963197966044,7.929846429742503,Mumbai_Organic,60.0,54.78431372549019,0,0,0,0,0,0
Mumbai,E-Waste,8162.0,53.0,11191.0,8.0,Incineration,3390.0,13.0,Mumbai Landfill,45575.0,2019,22.4265,77.4931,729.336073630596,0.1790894130554031,260.7692307692308,-0.0124231807818823,0.9999228293119728,9.007367027451355,8.128880142125638,Mumbai_E-Waste,104.0,55.5843137254902,0,0,0,0,0,0
Mumbai,Construction,8929.0,56.0,11191.0,5.0,Landfill,1498.0,14.0,Mumbai Landfill,45575.0,2019,22.4265,77.4931,797.8732910374408,0.1959188151398793,107.0,-0.0124231807818823,0.9999228293119728,9.097171673870545,7.312553498102598,Mumbai_Construction,70.0,56.917647058823526,0,0,0,0,0,0
Mumbai,Hazardous,5032.0,44.0,11191.0,7.0,Recycling,2221.0,16.0,Mumbai Landfill,45575.0,2019,22.4265,77.4931,449.6470377982307,0.110411409764125,138.8125,-0.0124231807818823,0.9999228293119728,8.52377150677636,7.706162970199576,Mumbai_Hazardous,112.0,58.917647058823526,0,0,0,0,0,0
Mumbai,Plastic,7456.0,73.0,11191.0,9.0,Landfill,3195.0,6.0,Mumbai Landfill,45575.0,2020,22.4265,77.4931,666.2496649093022,0.1635984640702139,532.5,-0.0093174904475982,0.9999565912437194,8.916908467543795,8.069655306886165,Mumbai_Plastic,54.0,58.78431372549019,0,0,0,0,0,0
Mumbai,Organic,7118.0,37.0,11191.0,6.0,Composting,3686.0,14.0,Mumbai Landfill,45575.0,2020,22.4265,77.4931,636.0468233401841,0.1561821173889193,263.2857142857143,-0.0093174904475982,0.9999565912437194,8.870522545103873,8.212568398234145,Mumbai_Organic,84.0,54.78431372549019,0,0,0,0,0,0
Mumbai,E-Waste,9189.0,57.0,11191.0,10.0,Landfill,1791.0,12.0,Mumbai Landfill,45575.0,2020,22.4265,77.4931,821.1062460906086,0.2016236972024136,149.25,-0.0093174904475982,0.9999565912437194,9.125871215349733,7.491087593534876,Mumbai_E-Waste,120.0,55.5843137254902,0,0,0,0,0,0
Mumbai,Construction,8609.0,48.0,11191.0,8.0,Incineration,1681.0,20.0,Mumbai Landfill,45575.0,2020,22.4265,77.4931,769.2788848181574,0.1888974218321448,84.05,-0.0093174904475982,0.9999565912437194,9.060679597421776,7.427738840532894,Mumbai_Construction,160.0,56.917647058823526,0,0,0,0,0,0
Mumbai,Hazardous,6632.0,71.0,11191.0,6.0,Incineration,2311.0,12.0,Mumbai Landfill,45575.0,2020,22.4265,77.4931,592.6190688946475,0.1455183763027976,192.58333333333331,-0.0093174904475982,0.9999565912437194,8.799812469525556,7.7458682297922685,Mumbai_Hazardous,72.0,58.917647058823526,0,0,0,0,0,0
